"","code_village","code_engin","code_pecheur","start_op","end_op","fishing"
"201","KPN","PA","0006",2020-06-28 08:28:19,2020-06-28 09:04:19,"active"
"202","KPN","PA","0006",2020-06-28 09:06:19,2020-06-28 09:13:19,"active"
"203","KPN","PA","0006",2020-06-28 09:18:19,2020-06-28 09:22:19,"active"
"204","KPN","PA","0006",2020-06-28 09:29:19,2020-06-28 10:08:19,"active"
"205","KPN","PA","0006",2020-06-28 10:10:19,2020-06-28 10:20:19,"active"
"206","KPN","YO","0008",2019-06-26 18:24:05,2019-06-26 18:33:05,"active"
"207","KPN","YO","0008",2019-06-26 19:18:05,2019-06-27 01:08:05,"active"
"208","KPN","YO","0008",2019-08-02 17:56:03,2019-08-02 18:03:03,"active"
"209","KPN","YO","0008",2019-08-02 18:25:03,2019-08-02 18:29:03,"active"
"210","KPN","YO","0008",2019-08-02 19:11:03,2019-08-03 08:13:03,"active"
"211","KPN","YO","0008",2019-08-03 08:23:03,2019-08-03 09:06:03,"active"
"212","KPN","YO","0008",2019-08-03 09:13:03,2019-08-03 11:37:03,"active"
"213","KPN","YO","0008",2019-08-03 11:42:03,2019-08-03 12:27:03,"active"
"214","KPN","YO","0008",2019-08-03 12:37:03,2019-08-03 13:25:03,"active"
"215","KPN","YO","0008",2019-08-03 13:30:03,2019-08-03 14:38:03,"active"
"216","KPN","YO","0008",2019-08-03 14:40:03,2019-08-03 14:47:03,"active"
"217","KPN","YO","0008",2019-08-03 14:51:03,2019-08-03 14:59:03,"active"
"218","KPN","YO","0008",2019-08-03 17:04:03,2019-08-03 17:57:03,"active"
"219","KPN","YO","0008",2019-08-03 19:06:03,2019-08-03 22:39:03,"active"
"220","KPN","YO","0008",2019-08-04 08:21:15,2019-08-04 09:51:15,"active"
"221","KPN","YO","0008",2019-08-04 10:03:15,2019-08-04 11:40:15,"active"
"222","KPN","YO","0008",2019-08-04 11:46:15,2019-08-04 12:14:15,"active"
"223","KPN","YO","0008",2019-08-04 12:17:15,2019-08-04 12:39:15,"active"
"224","KPN","YO","0008",2019-08-04 12:45:15,2019-08-04 13:35:15,"active"
"225","KPN","YO","0008",2019-08-04 13:46:15,2019-08-04 16:39:15,"active"
"226","KPN","YO","0008",2019-08-04 16:52:15,2019-08-04 17:48:15,"active"
"227","KPN","YO","0008",2019-08-04 17:52:15,2019-08-04 18:08:15,"active"
"228","KPN","YO","0008",2019-08-04 19:36:15,2019-08-04 20:04:15,"active"
"229","KPN","YO","0008",2019-08-04 20:22:15,2019-08-04 20:38:15,"active"
